,Set,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,Train,0.729492686259708,0.7293014649335289,0.7229999238747442,0.7293014649335289,0.729492686259708,0.729492686259708,0.7229999238747442
1,Test,0.7379591836734696,0.7431874483897606,0.7211774325429272,0.7431874483897606,0.7379591836734696,0.7379591836734696,0.7211774325429272
