,Set,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,Train,0.7738623238396987,0.7711243850444711,0.7693309950386251,0.7708713154816103,0.7738623238396987,0.7738623238396987,0.7693309950386251
1,Test,0.7636068237205523,0.7727272727272727,0.771678599840891,0.7727272727272727,0.7636068237205523,0.7636068237205523,0.771678599840891
