,Set,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,Train,0.7696690055119022,0.7682996187065187,0.7634064608135548,0.7682996187065187,0.7696690055119022,0.7696690055119022,0.7634064608135548
1,Test,0.7790788446526152,0.7832167832167832,0.7675507020280812,0.7832167832167832,0.7790788446526152,0.7790788446526152,0.7675507020280812
