,Set,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,Train,0.7702673928056618,0.7630127033068872,0.7586831654459221,0.7630127033068872,0.7702673928056618,0.7702673928056618,0.7586831654459221
1,Test,0.7905138339920948,0.782051282051282,0.7591125198098256,0.782051282051282,0.7905138339920948,0.7905138339920948,0.7591125198098256
