,Embedding,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,BOW,0.7223198594024605,0.7349081364829397,0.7310704960835509,0.7349081364829397,0.7223198594024605,0.7223198594024605,0.7310704960835509
1,TF IDF,0.7085201793721974,0.7325174825174825,0.7252368647717485,0.7325174825174825,0.7085201793721974,0.7085201793721974,0.7252368647717485
2,Tensorflow hub,0.7612687813021702,0.7651006711409396,0.74218089602705,0.7651006711409396,0.7612687813021702,0.7612687813021702,0.74218089602705
