,Embedding,text,NoRuido,PRE,URLS,HTML,EMOJIS,TODO
0,BOW,0.7704654895666131,0.767885532591415,0.7585089141004862,0.767885532591415,0.7704654895666131,0.7704654895666131,0.7585089141004862
1,TF IDF,0.7510548523206751,0.754180602006689,0.738831615120275,0.754180602006689,0.7510548523206751,0.7510548523206751,0.738831615120275
2,Tensorflow hub,0.7825409197194076,0.7796875000000001,0.7657587548638132,0.7796875000000001,0.7825409197194076,0.7825409197194076,0.7657587548638132
